ramal,estacao,ano,passageiros
Deodoro,Central do Brasil ,1995,16692.176
Deodoro,Central do Brasil ,1996,14705.403
Deodoro,Central do Brasil ,1997,11866.369
Deodoro,Central do Brasil ,1998,8941.966
Deodoro,Central do Brasil ,1999,11392.184
Deodoro,Central do Brasil ,2000,13436.569
Deodoro,Praça da Bandeira ,1995,1138.95
Deodoro,Praça da Bandeira ,1996,984.92
Deodoro,Praça da Bandeira ,1997,776.657
Deodoro,Praça da Bandeira ,1998,351.97
Deodoro,Praça da Bandeira ,1999,667.572
Deodoro,Praça da Bandeira ,2000,787.371
Deodoro,São Cristóvão,1995,5089.175
Deodoro,São Cristóvão,1996,4342.914
Deodoro,São Cristóvão,1997,2764.429
Deodoro,São Cristóvão,1998,3661.798
Deodoro,São Cristóvão,1999,2.881528
Deodoro,São Cristóvão,2000,3398.633
Deodoro,Maracanã,1995,...
Deodoro,Maracanã,1996,...
Deodoro,Maracanã,1997,...
Deodoro,Maracanã,1998,...
Deodoro,Maracanã,1999,148.236
Deodoro,Maracanã,2000,174.838
Deodoro,Mangueira,1995,1096.572
Deodoro,Mangueira,1996,1185.056
Deodoro,Mangueira,1997,950.666
Deodoro,Mangueira,1998,626.533
Deodoro,Mangueira,1999,812.525
Deodoro,Mangueira,2000,958.337
Deodoro,São Francisco Xavier,1995,1742.212
Deodoro,São Francisco Xavier,1996,1349.713
Deodoro,São Francisco Xavier,1997,1024.746
Deodoro,São Francisco Xavier,1998,896.951
Deodoro,São Francisco Xavier,1999,1166.62
Deodoro,São Francisco Xavier,2000,1375.976
Deodoro,Riachuelo do Rio,1995,1026.026
Deodoro,Riachuelo do Rio,1996,1122.942
Deodoro,Riachuelo do Rio,1997,903.464
Deodoro,Riachuelo do Rio,1998,700.035
Deodoro,Riachuelo do Rio,1999,816.003
Deodoro,Riachuelo do Rio,2000,962.439
Deodoro,Sampaio,1995,498.232
Deodoro,Sampaio,1996,415.093
Deodoro,Sampaio,1997,1144.018
Deodoro,Sampaio,1998,268.277
Deodoro,Sampaio,1999,319.659
Deodoro,Sampaio,2000,377.023
Deodoro,Engenho Novo,1995,1097.757
